Date,Open,High,Low,Close,Volume,OpenInt
2005-08-17,35.403,35.683,35.124,35.18,141015,0
2005-08-18,35.086,35.086,34.668,34.753,142694,0
2005-08-19,34.737,34.885,34.459,34.661,106636,0
2005-08-22,34.777,35.017,34.538,34.955,236661,0
2005-08-23,34.955,35.14,34.513,34.991,181212,0
2005-08-24,34.932,35.703,34.824,34.964,114516,0
2005-08-25,35.049,35.551,34.909,35.427,73803,0
2005-08-26,35.427,35.427,34.7,34.869,85563,0
2005-08-29,34.545,35.273,34.545,35.25,94098,0
2005-08-30,35.25,35.341,34.876,35.124,142568,0
2005-08-31,35.049,35.333,34.94,35.009,211847,0
2005-09-01,35.017,35.124,34.629,34.816,260186,0
2005-09-02,34.846,34.955,34.622,34.8,97840,0
2005-09-06,34.808,34.917,34.591,34.722,131708,0
2005-09-07,34.661,34.685,34.151,34.413,152258,0
2005-09-08,34.352,34.398,33.772,33.839,261995,0
2005-09-09,33.839,34.159,33.839,34.002,182764,0
2005-09-12,33.889,34.002,33.731,33.755,182248,0
2005-09-13,33.731,33.809,33.447,33.447,188193,0
2005-09-14,33.561,33.654,33.346,33.384,174103,0
2005-09-15,33.422,34.042,33.422,33.974,331921,0
2005-09-16,34.086,34.297,33.772,33.809,493490,0
2005-09-19,33.695,34.178,33.695,34.042,221411,0
2005-09-20,34.121,34.151,33.948,34.081,148000,0
2005-09-21,34.042,34.22,33.33,33.338,245452,0
2005-09-22,33.384,33.781,33.112,33.724,194656,0
2005-09-23,33.809,34.312,33.376,34.203,188448,0
2005-09-26,34.203,34.978,34.203,34.661,249460,0
2005-09-27,34.622,35.28,34.575,35.017,213009,0
2005-09-28,35.049,35.242,34.9,35.117,319902,0
2005-09-29,35.064,35.868,34.917,35.587,160790,0
2005-09-30,35.511,35.587,35.217,35.442,131450,0
2005-10-03,35.381,36.153,35.381,35.975,162599,0
2005-10-04,35.983,36.471,35.349,35.358,169968,0
2005-10-05,35.373,35.859,35.064,35.072,313439,0
2005-10-06,35.202,35.711,33.553,34.042,395643,0
2005-10-07,34.042,35.25,34.042,35.024,172554,0
2005-10-10,35.031,35.04,34.273,34.352,101594,0
2005-10-11,34.39,34.629,33.974,33.981,175011,0
2005-10-12,33.966,34.235,33.167,33.422,152518,0
2005-10-13,33.384,33.67,32.804,33.015,199567,0
2005-10-14,33.112,33.561,32.89,33.305,133518,0
2005-10-17,33.205,33.788,33.106,33.67,132098,0
2005-10-18,33.595,33.831,33.091,33.152,112579,0
2005-10-19,33.036,33.238,31.992,33.205,330243,0
2005-10-20,33.198,33.198,32.915,33.036,369534,0
2005-10-21,33.036,33.33,32.742,32.742,167254,0
2005-10-24,32.789,33.539,32.726,33.539,130936,0
2005-10-25,33.499,33.831,32.958,33.755,157428,0
2005-10-26,33.747,33.747,32.751,32.858,214433,0
2005-10-27,32.842,32.842,31.937,32.109,261094,0
2005-10-28,32.416,33.47,32.261,33.33,133648,0
2005-10-31,33.439,34.159,33.422,34.05,230458,0
2005-11-01,33.966,33.966,33.346,33.747,136879,0
2005-11-02,33.747,34.352,33.531,34.081,108571,0
2005-11-03,34.159,34.467,33.882,33.957,96036,0
2005-11-04,33.957,34.187,33.716,34.103,104435,0
2005-11-07,34.167,34.359,33.724,34.095,102371,0
2005-11-08,34.042,34.159,33.67,33.788,115423,0
